imgid, x_gt, y_gt, z_gt, omega_gt, phi_gt, kappa_gt, x_gps, y_gps, z_gps, 
2311,465669.379325,5247948.431290,472.050058,82.466465,-73.930561,-3.426186,465666.572374,5247952.518225,471.778015, 
2341,465669.568193,5247947.617020,472.183103,82.773208,-73.047043,-3.265202,465667.099491,5247952.303983,471.541992, 
2371,465669.867298,5247946.819699,472.238948,83.035520,-72.378755,-3.001551,465667.512159,5247951.879251,471.748993, 
2401,465670.125197,5247946.183102,472.234783,82.752732,-73.326444,-3.165462,465668.242542,5247951.574913,471.553009, 
2431,465670.340223,5247945.692682,472.391674,82.447895,-73.527349,-3.444081,465668.375693,5247951.107359,471.505005, 
2461,465670.597957,5247945.275140,472.576764,82.003280,-73.746945,-3.917942,465668.244970,5247950.696914,471.345001, 
2491,465670.835934,5247945.060630,472.677734,81.856367,-73.519650,-4.050491,465668.090902,5247950.164354,471.071991, 
2521,465670.861544,5247945.155078,472.843606,81.402544,-74.347024,-4.369649,465668.238542,5247949.596692,470.717010, 
2551,465670.805586,5247945.513965,473.003089,80.670732,-74.886484,-5.140234,465668.815246,5247948.826474,470.972992, 
2581,465670.778710,5247945.857956,473.075739,79.986174,-75.925180,-5.887061,465669.050999,5247947.835974,471.122009, 
2611,465670.754391,5247946.064116,472.935796,81.206816,-73.964613,-4.800122,465668.955240,5247946.947434,471.528992, 
2641,465670.690166,5247946.104349,472.816600,81.336958,-73.529688,-4.813867,465669.170936,5247946.401602,471.523010, 
2671,465670.681486,5247945.868810,472.710391,81.650975,-72.753612,-4.675721,465669.288398,5247945.834115,471.940002, 
2701,465670.735573,5247945.486816,472.549101,81.663247,-71.979496,-4.785914,465669.263221,5247945.400827,472.140991, 
2731,465670.887660,5247944.802549,472.600566,81.816157,-71.859358,-4.782105,465669.429727,5247945.477650,472.536987, 
2761,465671.113239,5247943.935207,472.898183,80.914513,-73.468146,-5.764871,465669.446380,5247945.744282,472.712006, 
2791,465671.315385,5247943.034847,472.994008,81.212717,-72.287783,-5.480555,465669.258917,5247945.956538,472.959015, 
2821,465671.437281,5247942.163725,473.048356,80.637597,-73.170566,-6.007413,465669.517301,5247946.255100,472.683990, 
2851,465671.398187,5247941.319130,473.073188,80.693106,-72.961893,-6.072032,465670.002840,5247946.674586,472.003998, 
2881,465671.146070,5247940.536924,473.004306,80.696430,-73.507283,-5.823642,465670.402990,5247946.694475,471.670990, 
2911,465670.978821,5247939.816449,472.925542,80.039216,-75.356943,-6.299864,465670.635034,5247946.359707,471.143005, 
2941,465670.815504,5247939.219367,472.832054,81.140383,-72.687511,-5.107824,465670.682866,5247945.503670,470.934998, 
2971,465670.808923,5247938.838576,472.691937,80.531763,-73.748175,-5.646936,465670.653925,5247944.425806,471.217987, 
3001,465670.875234,5247938.445678,472.640704,80.585907,-72.567753,-5.823729,465670.890791,5247943.624234,471.203003, 
3031,465671.131077,5247937.934385,472.727880,80.800103,-72.116238,-5.663280,465670.794435,5247942.635674,471.144012, 
3061,465671.404617,5247937.381885,472.740686,80.550841,-72.600404,-5.939033,465670.470868,5247941.515077,471.240997, 
3091,465671.552718,5247936.835703,472.721199,79.793743,-73.290417,-6.776440,465670.331632,5247940.937977,470.971008, 
3121,465671.654266,5247936.185499,472.741795,80.422766,-72.206156,-6.297313,465669.904409,5247940.162510,470.791992, 
3151,465671.708128,5247935.536218,472.747013,80.228844,-72.432088,-6.468057,465669.909021,5247939.662366,470.792999, 
3181,465671.743383,5247934.894544,472.705076,80.255171,-72.180825,-6.504871,465669.740055,5247939.163234,470.976990, 
3211,465671.819721,5247934.172172,472.603822,80.869554,-70.025308,-6.239328,465669.533461,5247938.686551,470.919006, 
3241,465672.017062,5247933.477637,472.598213,81.179119,-70.424188,-5.651700,465669.461642,5247938.020146,471.250000, 
3271,465672.254675,5247932.789523,472.654121,80.294494,-72.240216,-6.594228,465669.518327,5247937.386332,471.561005, 
3301,465672.542042,5247932.043611,472.726008,80.613296,-71.120699,-6.392351,465669.954544,5247937.117054,471.643005, 
3331,465672.864339,5247931.341767,472.785012,80.973728,-70.333433,-6.066778,465670.209095,5247936.759928,471.845001, 
3361,465673.282429,5247930.679210,472.830454,80.792578,-70.627926,-6.269219,465670.023661,5247936.027504,472.164001, 
3391,465673.700018,5247929.974768,472.885458,79.014168,-73.831180,-8.020995,465669.967448,5247935.449918,472.203003, 
3421,465674.011608,5247929.196064,472.918298,80.276992,-71.943320,-6.779153,465670.417985,5247935.047192,471.824005, 
3451,465674.087836,5247928.368120,473.011451,79.834248,-72.707342,-7.318548,465670.511443,5247934.246456,471.809998, 
3481,465674.093458,5247927.610274,472.962691,80.206497,-72.092614,-6.987446,465670.847582,5247933.644351,471.535004, 
3511,465673.961025,5247926.886746,472.895355,80.195952,-71.767333,-7.071181,465670.917416,5247932.677048,471.648010, 
3541,465673.902810,5247926.217810,472.856816,79.949825,-71.795540,-7.393171,465671.321111,5247932.007866,471.481995, 
3571,465674.008379,5247925.529122,472.780571,80.166958,-71.253429,-7.269335,465671.520226,5247931.206513,471.648987, 
3601,465674.183093,5247924.878859,472.698057,80.034104,-71.475960,-7.428018,465671.960936,5247930.414864,471.907990, 
3631,465674.381150,5247924.248058,472.575445,80.002916,-71.194418,-7.570740,465672.045809,5247929.436359,472.075012, 
3661,465674.567003,5247923.563276,472.476749,80.180840,-70.810358,-7.435453,465672.237182,5247928.601711,472.098999, 
3691,465674.799659,5247922.850699,472.415437,79.881108,-71.235382,-7.793407,465672.187155,5247927.790701,472.076996, 
3721,465674.984334,5247922.079915,472.457284,79.904737,-71.230067,-7.878590,465671.865928,5247927.070184,472.010010, 
3751,465675.191356,5247921.235055,472.422652,80.174741,-70.430266,-7.634377,465671.567334,5247926.349536,472.118011, 
3781,465675.413656,5247920.376353,472.377989,79.718215,-71.472991,-8.121656,465671.706988,5247925.704124,472.244995, 
3811,465675.476214,5247919.481151,472.394718,79.464672,-72.085112,-8.395614,465671.703288,5247925.070661,472.269012, 
3841,465675.353516,5247918.561051,472.442591,80.211679,-70.625165,-7.758502,465672.199622,5247924.756578,471.899994, 
3871,465675.318091,5247917.652003,472.431472,80.161914,-70.517764,-7.759773,465672.020049,5247923.735164,471.989014, 
3901,465675.376267,5247916.736309,472.363614,80.085378,-70.620662,-7.815725,465672.393745,5247923.099497,471.889008, 
3931,465675.402054,5247915.807462,472.363342,80.210726,-70.041952,-7.666243,465672.359073,5247922.332852,472.074005, 
3961,465675.516015,5247914.925767,472.393601,79.779225,-70.481111,-8.112878,465673.020117,5247921.784418,471.665009, 
3991,465675.727216,5247914.171308,472.302796,79.626043,-70.038435,-8.205689,465673.150577,5247920.861215,471.559998, 
4021,465676.070290,5247913.518038,472.329674,79.201992,-70.588303,-8.654613,465673.220682,5247919.938366,471.674988, 
4051,465676.469208,5247912.813142,472.351227,79.656702,-70.161662,-8.218090,465672.965554,5247918.906279,472.037994, 
4081,465676.847238,5247912.053990,472.341833,79.526906,-70.495388,-8.385037,465672.741343,5247917.996262,472.062988, 
4111,465677.074713,5247911.293544,472.358690,78.824128,-71.068072,-9.152095,465673.016400,5247917.272262,471.627991, 
4141,465677.301393,5247910.538839,472.346646,78.504745,-71.756951,-9.445862,465673.123896,5247916.293626,471.576996, 
4171,465677.548454,5247909.760032,472.318042,78.703731,-71.208011,-9.379296,465673.231863,5247915.392782,471.617004, 
4201,465677.710473,5247908.946931,472.359657,79.264016,-70.664930,-8.787227,465673.695810,5247914.701021,471.339996, 
4231,465677.979929,5247908.142921,472.406337,79.337861,-69.806913,-8.775569,465673.645985,5247913.923350,471.350006, 
4261,465678.417187,5247907.268977,472.441286,78.819073,-70.597723,-9.296003,465673.959222,5247913.276924,471.235992, 
4291,465678.843927,5247906.381733,472.556363,79.259904,-69.877440,-9.003013,465674.029058,5247912.309621,471.300995, 
4321,465679.221401,5247905.489051,472.646369,78.743709,-71.278940,-9.418412,465674.327663,5247911.741076,471.156006, 
4351,465679.542443,5247904.550612,472.782231,79.760494,-69.276483,-8.485396,465674.625497,5247911.039171,470.774994, 
4381,465679.733586,5247903.663522,472.994394,79.353666,-69.546970,-8.880979,465675.256793,5247910.568707,470.384003, 
4411,465679.810587,5247902.890954,473.086180,79.466022,-70.130079,-8.605859,465675.570105,5247909.933394,470.322998, 
4441,465679.771258,5247902.339836,473.104458,79.365994,-70.476862,-8.635210,465676.171215,5247909.463106,470.148987, 
4471,465679.693470,5247901.998038,473.002493,78.412695,-71.639098,-9.549118,465677.179000,5247908.834850,469.987000, 
4501,465679.456902,5247901.877123,472.792382,78.924895,-71.976656,-8.907730,465677.641330,5247907.865255,470.188995, 
4531,465679.128211,5247901.762294,472.541977,78.096844,-72.725801,-9.934574,465678.089456,5247907.051335,470.239990, 
4561,465678.934630,5247901.413174,472.276177,76.731359,-73.751362,-11.423951,465678.786620,5247906.224847,470.259003, 
4591,465678.827493,5247900.797501,472.094490,78.406166,-71.393418,-10.104841,465679.182118,5247905.444576,470.550995, 
4621,465678.763894,5247899.933715,472.040384,79.883611,-69.176345,-8.763430,465679.048029,5247904.456236,470.498993, 
4651,465678.913543,5247899.093039,472.137614,79.377383,-69.257119,-9.293220,465678.999298,5247903.867493,470.423004, 
4681,465679.143991,5247898.264934,472.187005,79.953626,-68.858553,-8.660866,465679.481459,5247903.709085,470.217010, 
4711,465679.278828,5247897.560004,472.147836,80.154498,-68.216672,-8.332969,465679.495702,5247903.564523,470.085999, 
4741,465679.354914,5247897.055281,472.077158,79.917826,-69.025464,-8.433677,465679.480939,5247903.620178,469.511993, 
4771,465679.437506,5247896.616045,472.005941,79.928981,-68.696790,-8.482529,465679.471378,5247903.275708,468.924011, 
4801,465679.555285,5247896.099711,472.009640,79.656229,-69.415457,-8.819380,465679.596578,5247902.741517,468.481995, 
4831,465679.707783,5247895.525064,472.006290,79.788837,-68.945088,-8.791025,465679.568937,5247901.885921,468.485992, 
4861,465679.820482,5247894.906662,471.985622,79.681997,-68.507305,-8.987695,465679.517286,5247900.797077,468.529999, 
4891,465680.024001,5247894.301520,471.998505,79.471155,-68.558927,-9.288794,465679.701125,5247899.962473,468.350006, 
4921,465680.263885,5247893.659036,472.015286,79.291489,-69.620745,-9.431961,465680.384927,5247899.436134,467.980011, 
4951,465680.347900,5247892.933847,472.081196,80.454824,-67.821413,-8.475285,465680.730314,5247899.122932,467.666992, 
4981,465680.461398,5247892.259599,472.157626,79.766605,-68.778140,-9.178287,465680.939391,5247898.732730,467.710999, 
5011,465680.635580,5247891.645278,472.293175,80.029580,-68.404627,-8.876267,465681.010587,5247897.998808,467.721008, 
5041,465680.864990,5247891.124410,472.478646,80.025563,-67.930544,-8.706120,465680.885923,5247897.332712,467.557007, 
5071,465681.180771,5247890.716080,472.513930,79.904077,-68.335265,-8.763660,465681.041057,5247896.753892,467.519012, 
5101,465681.299488,5247890.444169,472.578319,80.373757,-67.784784,-8.255793,465680.984335,5247896.087399,467.776001, 
5131,465681.294272,5247890.190907,472.575397,80.427580,-68.029876,-8.089500,465680.926033,5247895.154186,468.268005, 
5161,465681.263679,5247890.039684,472.546125,79.732667,-69.861539,-8.633384,465680.922853,5247894.609631,468.118988, 
5191,465681.271327,5247889.890905,472.536872,80.633045,-67.374888,-7.906130,465680.578528,5247893.811453,468.223999, 
5221,465681.363647,5247889.744476,472.475518,81.016332,-67.235299,-7.510790,465680.590440,5247893.266810,468.369995, 
5251,465681.508073,5247889.523772,472.367448,80.421149,-67.536606,-8.225176,465680.601190,5247892.522127,468.860992, 
5281,465681.712694,5247889.185264,472.399900,80.557658,-66.374813,-8.154684,465680.696208,5247891.988113,468.927002, 
5311,465681.996235,5247888.822345,472.520443,80.058465,-67.090724,-8.598436,465680.626577,5247891.699563,469.239014, 
5341,465682.240217,5247888.571795,472.649684,80.100677,-67.056817,-8.366894,465680.587219,5247891.421949,469.278992, 
5371,465682.339053,5247888.436021,472.696065,80.035585,-67.565113,-8.211988,465680.661725,5247891.254808,469.278992, 
5401,465682.363963,5247888.295293,472.708861,80.243837,-67.229330,-7.998008,465680.600621,5247891.132914,469.359985, 
5431,465682.362059,5247888.175584,472.717172,80.356814,-67.230932,-7.739475,465680.569005,5247890.888596,469.402008, 
5461,465682.343822,5247888.026776,472.744784,80.369804,-66.790705,-7.681566,465680.734089,5247890.720926,469.367004, 
5491,465682.342592,5247887.863980,472.745676,80.058881,-67.288114,-7.966324,465680.919675,5247890.186383,469.733002, 
5521,465682.393726,5247887.688041,472.770598,80.481920,-67.229125,-7.463198,465681.211001,5247889.662336,470.281006, 
5551,465682.466958,5247887.600148,472.819971,80.647171,-66.508890,-7.323608,465681.450517,5247889.316411,470.509003, 
5581,465682.524422,5247887.641428,472.834319,79.961012,-67.255125,-7.942833,465681.418760,5247889.049867,470.938995, 
5611,465682.519752,5247887.693103,472.830338,80.375039,-66.621674,-7.374015,465681.371855,5247888.772298,471.181000, 
5641,465682.505073,5247887.790012,472.820367,79.493227,-67.422454,-8.470805,465681.189082,5247888.495522,471.188995, 
5671,465682.527182,5247887.810082,472.827648,80.298804,-67.446510,-7.329287,465681.082892,5247888.407232,471.255005, 
5701,465682.619976,5247887.604351,472.887368,79.524927,-66.806112,-8.499196,465681.006310,5247888.218746,471.316010, 
5731,465682.699835,5247887.384087,472.939454,79.650288,-66.663710,-8.211263,465681.073465,5247888.084989,471.238007, 
5761,465682.677143,5247887.284081,472.933221,80.133737,-66.560813,-7.678541,465681.496929,5247888.215881,471.260986, 
5791,465682.611813,5247887.321438,472.885884,80.840241,-67.031188,-6.655226,465681.632655,5247888.192861,471.300995, 
5821,465682.543305,5247887.395084,472.815704,82.313043,-66.631149,-4.679451,465681.777758,5247888.480970,471.317993, 
5851,465682.551102,5247887.413251,472.802383,82.355208,-66.364479,-4.781016,465681.847252,5247888.747294,471.074005, 
5881,465682.665308,5247887.365264,472.878904,82.980093,-65.823590,-4.001725,465682.104909,5247888.923609,470.604004, 
5911,465682.882154,5247887.334557,472.998795,83.256564,-67.485280,-3.250749,465682.142264,5247888.856709,470.416992, 
5941,465683.041699,5247887.293922,473.041678,83.047564,-64.915931,-3.873407,465682.148781,5247888.678851,470.579987, 
5971,465683.104896,5247887.248822,473.066982,82.381312,-66.619330,-4.620033,465681.913622,5247888.480177,470.635010, 
6001,465683.158811,5247887.094506,473.037088,81.229402,-70.701520,-5.655402,465681.769623,5247888.380994,470.955994, 
6031,465683.456086,5247886.561006,473.128516,82.724549,-66.798103,-4.356242,465681.656991,5247888.481676,470.838989, 
6061,465683.982451,5247885.936211,473.201675,82.709123,-65.659684,-4.357175,465681.899755,5247888.691419,470.468994, 
6091,465684.351366,5247885.415382,473.182021,83.243198,-63.045871,-3.938650,465682.196336,5247889.067554,470.140015, 
6121,465684.376924,5247885.186268,473.096085,83.696049,-63.103329,-3.182320,465682.295296,5247889.211455,470.302002, 
6151,465684.205604,5247885.255447,473.026513,84.577839,-61.732407,-2.144065,465682.627349,5247889.198402,470.539001, 
6181,465684.034247,5247885.463880,473.002481,84.658745,-61.987690,-1.837611,465682.770184,5247889.097544,470.407013, 
6211,465683.986288,5247885.828620,472.939713,86.284904,-47.654802,-0.825508,465682.868685,5247889.163651,470.424011, 
6241,465684.236770,5247885.688511,473.047051,87.256510,-29.785309,-0.066370,465683.252209,5247888.916909,470.446991, 
6271,465684.774255,5247885.271403,473.135619,87.612683,-15.853458,-0.402971,465683.678156,5247888.180915,470.789001, 
6301,465685.528560,5247884.691355,473.195982,87.888516,-13.825567,0.272154,465683.946061,5247887.523641,471.001007, 
6331,465686.224810,5247884.197148,473.150592,87.779455,-12.383834,0.523875,465684.034229,5247887.111918,471.238007, 
6361,465686.601319,5247883.906513,473.113869,87.678290,-3.819845,0.523043,465684.110293,5247887.211497,471.070007, 
6391,465686.685053,5247883.944118,473.166079,87.427110,0.930952,0.994977,465684.248241,5247887.566331,470.936005, 
6421,465686.665969,5247884.123918,473.216817,87.274644,0.406646,1.147712,465684.642869,5247887.930780,470.548004, 
6451,465686.775469,5247884.316900,473.232020,86.977857,0.571781,1.124623,465685.013439,5247888.050867,470.414001, 
6481,465687.067812,5247884.532541,473.281478,87.179726,0.463980,1.607108,465685.684163,5247887.869131,470.764008, 
6511,465687.484716,5247884.871066,473.357861,87.261900,0.550472,1.841928,465686.537023,5247887.853037,470.308014, 
6541,465688.107946,5247885.263524,473.450646,86.918115,1.667476,1.568106,465687.099281,5247887.194044,469.579010, 
6571,465688.778461,5247885.677556,473.574724,86.769762,0.774799,1.362394,465687.662666,5247886.723977,469.459015, 
6601,465689.476843,5247886.162458,473.703696,85.972734,1.429078,0.863494,465688.050739,5247885.965977,469.171997, 
6631,465690.125062,5247886.723443,473.856678,86.401831,1.950603,1.448050,465688.081250,5247886.021368,469.181000, 
6661,465690.542148,5247887.445457,473.924314,86.541347,2.320349,2.031786,465688.302607,5247886.442397,468.953003, 
6691,465690.733075,5247888.323989,474.000146,86.508930,-0.314403,2.235489,465688.577591,5247886.996479,468.700012, 
6721,465691.075771,5247889.079467,473.971380,86.694747,-0.279233,2.409357,465688.898306,5247887.628089,468.160004, 
6751,465691.537559,5247889.501004,473.934197,86.867440,-0.617532,2.494771,465689.429185,5247888.058425,467.959015, 
6781,465691.952848,5247889.464880,473.902694,86.951412,-1.113297,2.472632,465691.312328,5247888.680914,467.119995, 
6811,465692.276270,5247889.094481,473.927291,86.945577,1.115561,2.565639,465691.760710,5247889.200642,467.153992, 
6841,465692.435070,5247888.715732,473.891397,86.908300,2.872577,2.690364,465691.921482,5247889.588683,467.783997, 
6871,465692.399692,5247888.432959,473.648735,86.491265,15.696641,2.638277,465692.109703,5247890.798982,467.821014, 
6901,465692.312175,5247888.277315,473.402652,86.222750,21.553574,2.715339,465692.303919,5247891.742515,467.798004, 
6931,465692.447884,5247888.363892,473.363824,86.018879,30.005814,2.856161,465692.697897,5247891.995831,468.056000, 
6961,465692.742601,5247888.782076,473.430617,85.810201,28.421867,2.966645,465692.931045,5247891.849992,468.079987, 
6991,465693.147268,5247889.250665,473.513984,85.900104,27.630491,3.092941,465693.186835,5247891.704020,468.575989, 
7021,465693.603940,5247889.563442,473.616261,85.804839,29.553320,3.170303,465693.500729,5247891.168728,468.431000, 
7051,465694.008206,5247889.712672,473.804250,85.716058,29.204237,3.333710,465693.497875,5247890.679740,467.875000, 
7081,465694.414612,5247889.777763,473.930127,85.774366,29.008033,3.493786,465692.183712,5247889.253740,467.752014, 
7111,465694.833987,5247889.812186,473.884570,85.725416,29.745179,3.547936,465692.257180,5247888.908786,467.872986, 
7141,465695.217184,5247889.834596,473.822138,85.651703,29.162056,3.655352,465692.793607,5247888.994564,467.609985, 
7171,465695.586212,5247889.928146,473.798838,85.572144,29.583304,3.780408,465693.700465,5247889.178203,466.981995, 
7201,465696.068755,5247890.116217,473.722971,85.534499,29.441021,3.684421,465694.522875,5247889.117834,465.912994, 
