Timpstemp, imgid, svid_1, svid_2, svid_3,,,,,,,,,,,,,
10234414,98,1,2,3,,,,,,,,,,,,, 
10267747,99,1,2,3,,,,,,,,,,,,, 
10301080,100,1,2,3,,,,,,,,,,,,, 
10334413,101,1,2,3,,,,,,,,,,,,, 
10367746,102,1,2,3,,,,,,,,,,,,, 
10396814,103,1,2,3,,,,,,,,,,,,, 
10430147,104,1,2,3,,,,,,,,,,,,, 
10463480,105,1,2,3,,,,,,,,,,,,, 
10496813,106,1,2,3,,,,,,,,,,,,, 
10530146,107,1,2,3,,,,,,,,,,,,, 
10563479,108,1,2,3,,,,,,,,,,,,, 
10599588,109,1,2,3,,,,,,,,,,,,, 
10632921,110,1,2,3,,,,,,,,,,,,, 
10666254,111,1,2,3,,,,,,,,,,,,, 
10699587,112,1,2,3,,,,,,,,,,,,, 
10732920,113,1,2,3,,,,,,,,,,,,, 
10766253,114,1,2,3,,,,,,,,,,,,, 
10797338,115,1,2,3,,,,,,,,,,,,, 
10830671,116,1,2,3,,,,,,,,,,,,, 
10864004,117,1,2,3,,,,,,,,,,,,, 
10897337,118,1,2,3,,,,,,,,,,,,, 
10930670,119,1,2,3,,,,,,,,,,,,, 
10964003,120,1,2,3,,,,,,,,,,,,, 
10997044,121,1,2,3,,,,,,,,,,,,, 
11030377,122,1,2,3,,,,,,,,,,,,, 
11063710,123,1,2,3,,,,,,,,,,,,, 
11097043,124,1,2,3,,,,,,,,,,,,, 
11130376,125,1,2,3,,,,,,,,,,,,, 
11163709,126,1,2,3,,,,,,,,,,,,, 
11195824,127,1,2,3,,,,,,,,,,,,, 
11229157,128,1,2,3,,,,,,,,,,,,, 
11262490,129,1,2,3,,,,,,,,,,,,, 
11295823,130,1,2,3,,,,,,,,,,,,, 
11329156,131,1,2,3,,,,,,,,,,,,, 
11362489,132,1,2,3,,,,,,,,,,,,, 
11397736,133,1,2,3,,,,,,,,,,,,, 
11431069,134,1,2,3,,,,,,,,,,,,, 
11464402,135,1,2,3,,,,,,,,,,,,, 
11497735,136,1,2,3,,,,,,,,,,,,, 
11531068,137,1,2,3,,,,,,,,,,,,, 
11564401,138,1,2,3,,,,,,,,,,,,, 
11595348,139,1,2,3,,,,,,,,,,,,, 
11628681,140,1,2,3,,,,,,,,,,,,, 
11662014,141,1,2,3,,,,,,,,,,,,, 
11695347,142,1,2,3,,,,,,,,,,,,, 
11728680,143,1,2,3,,,,,,,,,,,,, 
11762013,144,1,2,3,,,,,,,,,,,,, 
11796090,145,1,2,3,,,,,,,,,,,,, 
11829423,146,1,2,3,,,,,,,,,,,,, 
11862756,147,1,2,3,,,,,,,,,,,,, 
11896089,148,1,2,3,,,,,,,,,,,,, 
11929422,149,1,2,3,,,,,,,,,,,,, 
11962755,150,1,2,3,,,,,,,,,,,,, 
11988960,151,1,2,3,,,,,,,,,,,,, 
12022293,152,1,2,3,,,,,,,,,,,,, 
12055626,153,1,2,3,,,,,,,,,,,,, 
12088959,154,1,2,3,,,,,,,,,,,,, 
12122292,155,1,2,3,,,,,,,,,,,,, 
12155625,156,1,2,3,,,,,,,,,,,,, 
12191611,157,1,2,3,,,,,,,,,,,,, 
12224944,158,1,2,3,,,,,,,,,,,,, 
12258277,159,1,2,3,,,,,,,,,,,,, 
12291610,160,1,2,3,,,,,,,,,,,,, 
12324943,161,1,2,3,,,,,,,,,,,,, 
12358276,162,1,2,3,,,,,,,,,,,,, 
12388362,163,1,2,3,,,,,,,,,,,,, 
12421695,164,1,2,3,,,,,,,,,,,,, 
12455028,165,1,2,3,,,,,,,,,,,,, 
12488361,166,1,2,3,,,,,,,,,,,,, 
12521694,167,1,2,3,,,,,,,,,,,,, 
12555027,168,1,2,3,,,,,,,,,,,,, 
12590212,169,1,2,3,,,,,,,,,,,,, 
12623545,170,1,2,3,,,,,,,,,,,,, 
12656878,171,1,2,3,,,,,,,,,,,,, 
12690211,172,1,2,3,,,,,,,,,,,,, 
12723544,173,1,2,3,,,,,,,,,,,,, 
12756877,174,1,2,3,,,,,,,,,,,,, 
12790053,175,1,2,3,,,,,,,,,,,,, 
12823386,176,1,2,3,,,,,,,,,,,,, 
12856719,177,1,2,3,,,,,,,,,,,,, 
12890052,178,1,2,3,,,,,,,,,,,,, 
12923385,179,1,2,3,,,,,,,,,,,,, 
12956718,180,1,2,3,,,,,,,,,,,,, 
12990712,181,1,2,3,,,,,,,,,,,,, 
13024045,182,1,2,3,,,,,,,,,,,,, 
13057378,183,1,2,3,,,,,,,,,,,,, 
13090711,184,1,2,3,,,,,,,,,,,,, 
13124044,185,1,2,3,,,,,,,,,,,,, 
13157377,186,1,2,3,,,,,,,,,,,,, 
13188406,187,1,2,3,,,,,,,,,,,,, 
13221739,188,1,2,3,,,,,,,,,,,,, 
13255072,189,1,2,3,,,,,,,,,,,,, 
13288405,190,1,2,3,,,,,,,,,,,,, 
13321738,191,1,2,3,,,,,,,,,,,,, 
13355071,192,1,2,3,,,,,,,,,,,,, 
13389207,193,1,2,3,,,,,,,,,,,,, 
13422540,194,1,2,3,,,,,,,,,,,,, 
13455873,195,1,2,3,,,,,,,,,,,,, 
13489206,196,1,2,3,,,,,,,,,,,,, 
13522539,197,1,2,3,,,,,,,,,,,,, 
13555872,198,1,2,3,,,,,,,,,,,,, 
13592107,199,1,2,3,,,,,,,,,,,,, 
13625440,200,1,2,3,,,,,,,,,,,,, 
13658773,201,1,2,3,,,,,,,,,,,,, 
13692106,202,1,2,3,,,,,,,,,,,,, 
13725439,203,1,2,3,,,,,,,,,,,,, 
13758772,204,1,2,3,,,,,,,,,,,,, 
13808127,205,1,2,3,,,,,,,,,,,,, 
13841460,206,1,2,3,,,,,,,,,,,,, 
13874793,207,1,2,3,,,,,,,,,,,,, 
13908126,208,1,2,3,,,,,,,,,,,,, 
13941459,209,1,2,3,,,,,,,,,,,,, 
13974792,210,1,2,3,,,,,,,,,,,,, 
13989764,211,1,2,3,,,,,,,,,,,,, 
14023097,212,1,2,3,,,,,,,,,,,,, 
14056430,213,1,2,3,,,,,,,,,,,,, 
14089763,214,1,2,3,,,,,,,,,,,,, 
14123096,215,1,2,3,,,,,,,,,,,,, 
14156429,216,1,2,3,,,,,,,,,,,,, 
14191526,217,1,2,3,,,,,,,,,,,,, 
14224859,218,1,2,3,,,,,,,,,,,,, 
14258192,219,1,2,3,,,,,,,,,,,,, 
14291525,220,1,2,3,,,,,,,,,,,,, 
14324858,221,1,2,3,,,,,,,,,,,,, 
14358191,222,1,2,3,,,,,,,,,,,,, 
14387222,223,1,2,3,,,,,,,,,,,,, 
14420555,224,1,2,3,,,,,,,,,,,,, 
14453888,225,1,2,3,,,,,,,,,,,,, 
14487221,226,1,2,3,,,,,,,,,,,,, 
14520554,227,1,2,3,,,,,,,,,,,,, 
14553887,228,1,2,3,,,,,,,,,,,,, 
14588057,229,1,2,3,,,,,,,,,,,,, 
14621390,230,1,2,3,,,,,,,,,,,,, 
14654723,231,1,2,3,,,,,,,,,,,,, 
14688056,232,1,2,3,,,,,,,,,,,,, 
14721389,233,1,2,3,,,,,,,,,,,,, 
14754722,234,1,2,3,,,,,,,,,,,,, 
14796032,235,1,2,3,,,,,,,,,,,,, 
14829365,236,1,2,3,,,,,,,,,,,,, 
14862698,237,1,2,3,,,,,,,,,,,,, 
14896031,238,1,2,3,,,,,,,,,,,,, 
14929364,239,1,2,3,,,,,,,,,,,,, 
14962697,240,1,2,3,,,,,,,,,,,,, 
14990721,241,1,2,3,,,,,,,,,,,,, 
15024054,242,1,2,3,,,,,,,,,,,,, 
15057387,243,1,2,3,,,,,,,,,,,,, 
15090720,244,1,2,3,,,,,,,,,,,,, 
15124053,245,1,2,3,,,,,,,,,,,,, 
15157386,246,1,2,3,,,,,,,,,,,,, 
15185446,247,1,2,3,,,,,,,,,,,,, 
15218779,248,1,2,3,,,,,,,,,,,,, 
15252112,249,1,2,3,,,,,,,,,,,,, 
15285445,250,1,2,3,,,,,,,,,,,,, 
15318778,251,1,2,3,,,,,,,,,,,,, 
15352111,252,1,2,3,,,,,,,,,,,,, 
15387279,253,1,2,3,,,,,,,,,,,,, 
15420612,254,1,2,3,,,,,,,,,,,,, 
15453945,255,1,2,3,,,,,,,,,,,,, 
15487278,256,1,2,3,,,,,,,,,,,,, 
15520611,257,1,2,3,,,,,,,,,,,,, 
15553944,258,1,2,3,,,,,,,,,,,,, 
15585104,259,1,2,3,,,,,,,,,,,,, 
15618437,260,1,2,3,,,,,,,,,,,,, 
15651770,261,1,2,3,,,,,,,,,,,,, 
15685103,262,1,2,3,,,,,,,,,,,,, 
15718436,263,1,2,3,,,,,,,,,,,,, 
15751769,264,1,2,3,,,,,,,,,,,,, 
15786962,265,1,2,3,,,,,,,,,,,,, 
15820295,266,1,2,3,,,,,,,,,,,,, 
15853628,267,1,2,3,,,,,,,,,,,,, 
15886961,268,1,2,3,,,,,,,,,,,,, 
15920294,269,1,2,3,,,,,,,,,,,,, 
15953627,270,1,2,3,,,,,,,,,,,,, 
15983557,271,1,2,3,,,,,,,,,,,,, 
16016890,272,1,2,3,,,,,,,,,,,,, 
16050223,273,1,2,3,,,,,,,,,,,,, 
16083556,274,1,2,3,,,,,,,,,,,,, 
16116889,275,1,2,3,,,,,,,,,,,,, 
16150222,276,1,2,3,,,,,,,,,,,,, 
16191395,277,1,2,3,,,,,,,,,,,,, 
16224728,278,1,2,3,,,,,,,,,,,,, 
16258061,279,1,2,3,,,,,,,,,,,,, 
16291394,280,1,2,3,,,,,,,,,,,,, 
16324727,281,1,2,3,,,,,,,,,,,,, 
16358060,282,1,2,3,,,,,,,,,,,,, 
16388182,283,1,2,3,,,,,,,,,,,,, 
16421515,284,1,2,3,,,,,,,,,,,,, 
16454848,285,1,2,3,,,,,,,,,,,,, 
16488181,286,1,2,3,,,,,,,,,,,,, 
16521514,287,1,2,3,,,,,,,,,,,,, 
16554847,288,1,2,3,,,,,,,,,,,,, 
16590050,289,1,2,3,,,,,,,,,,,,, 
16623383,290,1,2,3,,,,,,,,,,,,, 
16656716,291,1,2,3,,,,,,,,,,,,, 
16690049,292,1,2,3,,,,,,,,,,,,, 
16723382,293,1,2,3,,,,,,,,,,,,, 
16756715,294,1,2,3,,,,,,,,,,,,, 
16784751,295,1,2,3,,,,,,,,,,,,, 
16818084,296,1,2,3,,,,,,,,,,,,, 
16851417,297,1,2,3,,,,,,,,,,,,, 
16884750,298,1,2,3,,,,,,,,,,,,, 
16918083,299,1,2,3,,,,,,,,,,,,, 
16951416,300,1,2,3,,,,,,,,,,,,, 
16989655,301,1,2,3,,,,,,,,,,,,, 
17022988,302,1,2,3,,,,,,,,,,,,, 
17056321,303,1,2,3,,,,,,,,,,,,, 
17089654,304,1,2,3,,,,,,,,,,,,, 
17122987,305,1,2,3,,,,,,,,,,,,, 
17156320,306,1,2,3,,,,,,,,,,,,, 
17187411,307,1,2,3,,,,,,,,,,,,, 
17220744,308,1,2,3,,,,,,,,,,,,, 
17254077,309,1,2,3,,,,,,,,,,,,, 
17287410,310,1,2,3,,,,,,,,,,,,, 
17320743,311,1,2,3,,,,,,,,,,,,, 
17354076,312,1,2,3,,,,,,,,,,,,, 
17391383,313,1,2,3,,,,,,,,,,,,, 
17424716,314,1,2,3,,,,,,,,,,,,, 
17458049,315,1,2,3,,,,,,,,,,,,, 
17491382,316,1,2,3,,,,,,,,,,,,, 
17524715,317,1,2,3,,,,,,,,,,,,, 
17558048,318,1,2,3,,,,,,,,,,,,, 
17588112,319,1,2,3,,,,,,,,,,,,, 
17621445,320,1,2,3,,,,,,,,,,,,, 
17654778,321,1,2,3,,,,,,,,,,,,, 
17688111,322,1,2,3,,,,,,,,,,,,, 
17721444,323,1,2,3,,,,,,,,,,,,, 
17754777,324,1,2,3,,,,,,,,,,,,, 
17784803,325,1,2,3,,,,,,,,,,,,, 
17818136,326,1,2,3,,,,,,,,,,,,, 
17851469,327,1,2,3,,,,,,,,,,,,, 
17884802,328,1,2,3,,,,,,,,,,,,, 
17918135,329,1,2,3,,,,,,,,,,,,, 
17951468,330,1,2,3,,,,,,,,,,,,, 
17985701,331,1,2,3,,,,,,,,,,,,, 
18019034,332,1,2,3,,,,,,,,,,,,, 
18052367,333,1,2,3,,,,,,,,,,,,, 
18085700,334,1,2,3,,,,,,,,,,,,, 
18119033,335,1,2,3,,,,,,,,,,,,, 
18152366,336,1,2,3,,,,,,,,,,,,, 
18192591,337,1,2,3,,,,,,,,,,,,, 
18225924,338,1,2,3,,,,,,,,,,,,, 
18259257,339,1,2,3,,,,,,,,,,,,, 
18292590,340,1,2,3,,,,,,,,,,,,, 
18325923,341,1,2,3,,,,,,,,,,,,, 
18359256,342,1,2,3,,,,,,,,,,,,, 
18384222,343,1,2,3,,,,,,,,,,,,, 
18417555,344,1,2,3,,,,,,,,,,,,, 
18450888,345,1,2,3,,,,,,,,,,,,, 
18484221,346,1,2,3,,,,,,,,,,,,, 
18517554,347,1,2,3,,,,,,,,,,,,, 
18550887,348,1,2,3,,,,,,,,,,,,, 
18588175,349,1,2,3,,,,,,,,,,,,, 
18621508,350,1,2,3,,,,,,,,,,,,, 
18654841,351,1,2,3,,,,,,,,,,,,, 
18688174,352,1,2,3,,,,,,,,,,,,, 
18721507,353,1,2,3,,,,,,,,,,,,, 
18754840,354,1,2,3,,,,,,,,,,,,, 
18783070,355,1,2,3,,,,,,,,,,,,, 
18816403,356,1,2,3,,,,,,,,,,,,, 
18849736,357,1,2,3,,,,,,,,,,,,, 
18883069,358,1,2,3,,,,,,,,,,,,, 
18916402,359,1,2,3,,,,,,,,,,,,, 
18949735,360,1,2,3,,,,,,,,,,,,, 
18984784,361,1,2,3,,,,,,,,,,,,, 
19018117,362,1,2,3,,,,,,,,,,,,, 
19051450,363,1,2,3,,,,,,,,,,,,, 
19084783,364,1,2,3,,,,,,,,,,,,, 
19118116,365,1,2,3,,,,,,,,,,,,, 
19151449,366,1,2,3,,,,,,,,,,,,, 
19185626,367,1,2,3,,,,,,,,,,,,, 
19218959,368,1,2,3,,,,,,,,,,,,, 
19252292,369,1,2,3,,,,,,,,,,,,, 
19285625,370,1,2,3,,,,,,,,,,,,, 
19318958,371,1,2,3,,,,,,,,,,,,, 
19352291,372,1,2,3,,,,,,,,,,,,, 
19388439,373,1,2,3,,,,,,,,,,,,, 
19421772,374,1,2,3,,,,,,,,,,,,, 
19455105,375,1,2,3,,,,,,,,,,,,, 
19488438,376,1,2,3,,,,,,,,,,,,, 
19521771,377,1,2,3,,,,,,,,,,,,, 
19555104,378,1,2,3,,,,,,,,,,,,, 
19587119,379,1,2,3,,,,,,,,,,,,, 
19620452,380,1,2,3,,,,,,,,,,,,, 
19653785,381,1,2,3,,,,,,,,,,,,, 
19687118,382,1,2,3,,,,,,,,,,,,, 
19720451,383,1,2,3,,,,,,,,,,,,, 
19753784,384,1,2,3,,,,,,,,,,,,, 
19785047,385,1,2,3,,,,,,,,,,,,, 
19818380,386,1,2,3,,,,,,,,,,,,, 
19851713,387,1,2,3,,,,,,,,,,,,, 
19885046,388,1,2,3,,,,,,,,,,,,, 
19918379,389,1,2,3,,,,,,,,,,,,, 
19951712,390,1,2,3,,,,,,,,,,,,, 
19983676,391,1,2,3,,,,,,,,,,,,, 
20017009,392,1,2,3,,,,,,,,,,,,, 
20050342,393,1,2,3,,,,,,,,,,,,, 
20083675,394,1,2,3,,,,,,,,,,,,, 
20117008,395,1,2,3,,,,,,,,,,,,, 
20150341,396,1,2,3,,,,,,,,,,,,, 
20187524,397,1,2,3,,,,,,,,,,,,, 
20220857,398,1,2,3,,,,,,,,,,,,, 
20254190,399,1,2,3,,,,,,,,,,,,, 
20287523,400,1,2,3,,,,,,,,,,,,, 
20320856,401,1,2,3,,,,,,,,,,,,, 
20354189,402,1,2,3,,,,,,,,,,,,, 
20387291,403,1,2,3,,,,,,,,,,,,, 
20420624,404,1,2,3,,,,,,,,,,,,, 
20453957,405,1,2,3,,,,,,,,,,,,, 
20487290,406,1,2,3,,,,,,,,,,,,, 
20520623,407,1,2,3,,,,,,,,,,,,, 
20553956,408,1,2,3,,,,,,,,,,,,, 
20595274,409,1,2,3,,,,,,,,,,,,, 
20628607,410,1,2,3,,,,,,,,,,,,, 
20661940,411,1,2,3,,,,,,,,,,,,, 
20695273,412,1,2,3,,,,,,,,,,,,, 
20728606,413,1,2,3,,,,,,,,,,,,, 
20761939,414,1,2,3,,,,,,,,,,,,, 
20792055,415,1,2,3,,,,,,,,,,,,, 
20825388,416,1,2,3,,,,,,,,,,,,, 
20858721,417,1,2,3,,,,,,,,,,,,, 
20892054,418,1,2,3,,,,,,,,,,,,, 
20925387,419,1,2,3,,,,,,,,,,,,, 
20958720,420,1,2,3,,,,,,,,,,,,, 
20996026,421,1,2,3,,,,,,,,,,,,, 
21029359,422,1,2,3,,,,,,,,,,,,, 
21062692,423,1,2,3,,,,,,,,,,,,, 
21096025,424,1,2,3,,,,,,,,,,,,, 
21129358,425,1,2,3,,,,,,,,,,,,, 
21162691,426,1,2,3,,,,,,,,,,,,, 
21185522,427,1,2,3,,,,,,,,,,,,, 
21218855,428,1,2,3,,,,,,,,,,,,, 
21252188,429,1,2,3,,,,,,,,,,,,, 
21285521,430,1,2,3,,,,,,,,,,,,, 
21318854,431,1,2,3,,,,,,,,,,,,, 
21352187,432,1,2,3,,,,,,,,,,,,, 
21390428,433,1,2,3,,,,,,,,,,,,, 
21423761,434,1,2,3,,,,,,,,,,,,, 
21457094,435,1,2,3,,,,,,,,,,,,, 
21490427,436,1,2,3,,,,,,,,,,,,, 
21523760,437,1,2,3,,,,,,,,,,,,, 
21557093,438,1,2,3,,,,,,,,,,,,, 
21589115,439,1,2,3,,,,,,,,,,,,, 
21622448,440,1,2,3,,,,,,,,,,,,, 
21655781,441,1,2,3,,,,,,,,,,,,, 
21689114,442,1,2,3,,,,,,,,,,,,, 
21722447,443,1,2,3,,,,,,,,,,,,, 
21755780,444,1,2,3,,,,,,,,,,,,, 
21789937,445,1,2,3,,,,,,,,,,,,, 
21823270,446,1,2,3,,,,,,,,,,,,, 
21856603,447,1,2,3,,,,,,,,,,,,, 
21889936,448,1,2,3,,,,,,,,,,,,, 
21923269,449,1,2,3,,,,,,,,,,,,, 
21956602,450,1,2,3,,,,,,,,,,,,, 
21988746,451,1,2,3,,,,,,,,,,,,, 
22022079,452,1,2,3,,,,,,,,,,,,, 
22055412,453,1,2,3,,,,,,,,,,,,, 
22088745,454,1,2,3,,,,,,,,,,,,, 
22122078,455,1,2,3,,,,,,,,,,,,, 
22155411,456,1,2,3,,,,,,,,,,,,, 
22186382,457,1,2,3,,,,,,,,,,,,, 
22219715,458,1,2,3,,,,,,,,,,,,, 
22253048,459,1,2,3,,,,,,,,,,,,, 
22286381,460,1,2,3,,,,,,,,,,,,, 
22319714,461,1,2,3,,,,,,,,,,,,, 
22353047,462,1,2,3,,,,,,,,,,,,, 
22385045,463,1,2,3,,,,,,,,,,,,, 
22418378,464,1,2,3,,,,,,,,,,,,, 
22451711,465,1,2,3,,,,,,,,,,,,, 
22485044,466,1,2,3,,,,,,,,,,,,, 
22518377,467,1,2,3,,,,,,,,,,,,, 
22551710,468,1,2,3,,,,,,,,,,,,, 
22589036,469,1,2,3,,,,,,,,,,,,, 
22622369,470,1,2,3,,,,,,,,,,,,, 
22655702,471,1,2,3,,,,,,,,,,,,, 
22689035,472,1,2,3,,,,,,,,,,,,, 
22722368,473,1,2,3,,,,,,,,,,,,, 
22755701,474,1,2,3,,,,,,,,,,,,, 
22783649,475,1,2,3,,,,,,,,,,,,, 
22816982,476,1,2,3,,,,,,,,,,,,, 
22850315,477,1,2,3,,,,,,,,,,,,, 
22883648,478,1,2,3,,,,,,,,,,,,, 
22916981,479,1,2,3,,,,,,,,,,,,, 
22950314,480,1,2,3,,,,,,,,,,,,, 
22986362,481,1,2,3,,,,,,,,,,,,, 
23019695,482,1,2,3,,,,,,,,,,,,, 
23053028,483,1,2,3,,,,,,,,,,,,, 
23086361,484,1,2,3,,,,,,,,,,,,, 
23119694,485,1,2,3,,,,,,,,,,,,, 
23153027,486,1,2,3,,,,,,,,,,,,, 
23184082,487,1,2,3,,,,,,,,,,,,, 
23217415,488,1,2,3,,,,,,,,,,,,, 
23250748,489,1,2,3,,,,,,,,,,,,, 
23284081,490,1,2,3,,,,,,,,,,,,, 
23317414,491,1,2,3,,,,,,,,,,,,, 
23350747,492,1,2,3,,,,,,,,,,,,, 
23386030,493,1,2,3,,,,,,,,,,,,, 
23419363,494,1,2,3,,,,,,,,,,,,, 
23452696,495,1,2,3,,,,,,,,,,,,, 
23486029,496,1,2,3,,,,,,,,,,,,, 
23519362,497,1,2,3,,,,,,,,,,,,, 
23552695,498,1,2,3,,,,,,,,,,,,, 
23586612,499,1,2,3,,,,,,,,,,,,, 
23619945,500,1,2,3,,,,,,,,,,,,, 
23653278,501,1,2,3,,,,,,,,,,,,, 
23686611,502,1,2,3,,,,,,,,,,,,, 
23719944,503,1,2,3,,,,,,,,,,,,, 
23753277,504,1,2,3,,,,,,,,,,,,, 
23791419,505,1,2,3,,,,,,,,,,,,, 
23824752,506,1,2,3,,,,,,,,,,,,, 
23858085,507,1,2,3,,,,,,,,,,,,, 
23891418,508,1,2,3,,,,,,,,,,,,, 
23924751,509,1,2,3,,,,,,,,,,,,, 
23958084,510,1,2,3,,,,,,,,,,,,, 
23980061,511,1,2,3,,,,,,,,,,,,, 
24013394,512,1,2,3,,,,,,,,,,,,, 
24046727,513,1,2,3,,,,,,,,,,,,, 
24080060,514,1,2,3,,,,,,,,,,,,, 
24113393,515,1,2,3,,,,,,,,,,,,, 
24146726,516,1,2,3,,,,,,,,,,,,, 
24186009,517,1,2,3,,,,,,,,,,,,, 
24219342,518,1,2,3,,,,,,,,,,,,, 
24252675,519,1,2,3,,,,,,,,,,,,, 
24286008,520,1,2,3,,,,,,,,,,,,, 
24319341,521,1,2,3,,,,,,,,,,,,, 
24352674,522,1,2,3,,,,,,,,,,,,, 
24383715,523,1,2,3,,,,,,,,,,,,, 
24417048,524,1,2,3,,,,,,,,,,,,, 
24450381,525,1,2,3,,,,,,,,,,,,, 
24483714,526,1,2,3,,,,,,,,,,,,, 
24517047,527,1,2,3,,,,,,,,,,,,, 
24550380,528,1,2,3,,,,,,,,,,,,, 
24587605,529,1,2,3,,,,,,,,,,,,, 
24620938,530,1,2,3,,,,,,,,,,,,, 
24654271,531,1,2,3,,,,,,,,,,,,, 
24687604,532,1,2,3,,,,,,,,,,,,, 
24720937,533,1,2,3,,,,,,,,,,,,, 
24754270,534,1,2,3,,,,,,,,,,,,, 
24787410,535,1,2,3,,,,,,,,,,,,, 
