lat, lon, yaw_degree, tilt_yaw_degree, tilt_pitch degree, auxiliary variable
47.386794, 8.542755, 335.07, -66.48, 0.88, -1, 
47.386645, 8.542875, 331.57, -71.74, 0.86, -1, 
47.386502, 8.542989, 331.5, -77.04, 0.79, -1, 
47.386423, 8.543053, 331.61, -53.96, 0.95, -1, 
47.386344, 8.543116, 332.32, -65.36, 1.29, -1, 
47.386265, 8.543180, 330.9, -44.53, 1.29, -1, 
47.386115, 8.543301, 331.87, -45.19, 4.11, -1
47.385973, 8.543415, 331.15, -25.85, 6.88, -1
47.385823, 8.543536, 335.83, -11.62, 6.46, -1
47.385632, 8.543693, 339.53, -5.09, 5.85, -1
47.385511, 8.543794, 327.49, -19.55, 4.99, -1, 
47.385426, 8.543865, 327.96, -7.76, 4.31, -1
47.385173, 8.544027, 350.09, -143.93, 2.55, -1
47.385013, 8.544070, 353.54, 140.24, 3.49, -1
47.384854, 8.544113, 349.32, 143.92, 3.93, -1
47.384695, 8.544157, 346.61, 160.25, 3.29, -1, 
47.384536, 8.544200, 348.16, -157.22, 4.18, -1
47.384377, 8.544244, 350.12, -165.53, 3.5, -1
47.384217, 8.544287, 349.94, -151.27, 4.34, -1
47.384058, 8.544331, 358.31, -176, 3.31, -1
47.383890, 8.544377, 347.7, 157.22, 3.34, -1
47.383804, 8.544405, 343.07, -175.36, 3.11, -1
47.383710, 8.544450, 336.82, -167.46, 4.23, -1
47.383607, 8.544528, 320.82, 174.13, 5.56, -1
47.383530, 8.544620, 311.08, 160.48, 4.69, -1
47.383464, 8.544719, 308.89, 160.83, 5.17, -1
47.383340, 8.544905, 315.93, 134.66, 4.88, -1
47.383228, 8.545072, 312.63, 82.79, 6.12, -1
47.383117, 8.545230, 319.57, 10.15, 1.82, -1
47.383051, 8.545324, 1, -14.79, 2.65, -1
47.382916, 8.545336, 179.68, 20.63, 3.7, 1
47.382764, 8.545349, 179.49, 21.59, 3.95, 1
47.382602, 8.545363, 179.36, 23.5, 4.08, 1
47.382447, 8.545377, 179.09, 18.36, 3.84, 1
47.382295, 8.545390, 179.86, 35.81, 4.79, 1
47.382342, 8.545764, 238.59, 52.28, 6.86, -1 
47.382428, 8.545960, 237.85, 51.87, 6.89, -1
47.382510, 8.546144, 237.92, 47.81, 6.75, -1
47.382593, 8.546331, 238.02, 50.86, 6.9, -1
47.382652, 8.546464, 237.72, 54.14, 6.53, -1
47.382706, 8.546587, 235.93, 50.98, 6.9, -1
47.382810, 8.546820, 332.04, -103.74, 2.57, 1
47.382908, 8.546754, 334.4, 57.55, 2.23, 1
47.383039, 8.546666, 346.04, -101.25, 3.39, 1
47.383178, 8.546573, 328.37, -86.2, 1.2, 1
47.383309, 8.546485, 337.96, 58.04, 2.71, 1
47.383449, 8.546392, 345.28, -86.61, 1.56, 1
47.383538, 8.546336, 341.18, -101.5, 2.98, 1
47.383626, 8.546280, 334.91, -106.02, 2.78, 1
47.383732, 8.546212, 331.6, -158.47, 0.09, 1
